substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
phenylalanine	O=C(O)[C@@H](N)Cc1ccccc1	D-phenylalanine	O=C(O)[C@H](N)Cc1ccccc1	NMe-phenylalanine	CN[C@H](C(O)=O)Cc1ccccc1	NMe-D-phenylalanine	CN[C@@H](C(O)=O)Cc1ccccc1
phenylalaninol	OC[C@@H](N)Cc1ccccc1						
phenylglycine	O=C(O)[C@@H](N)c1ccccc1	D-phenylglycine	O=C(O)[C@H](N)c1ccccc1	NMe-phenylglycine	CN[C@H](C(O)=O)c1ccccc1	NMe-D-phenylglycine	CN[C@@H](C(O)=O)c1ccccc1
phenyllactic acid	O=C(O)[C@@H](O)Cc1ccccc1						
phenylpyruvic acid	O=C(C(O)=O)Cc1ccccc1						
pipecolic acid	O=C(O)[C@H]1NCCCC1	D-pipecolic acid	O=C(O)[C@@H]1NCCCC1	NMe-pipecolic acid	CN1CCCC[C@H]1C(O)=O	NMe-D-pipecolic acid	CN1CCCC[C@@H]1C(O)=O
piperazic acid	O=C(O)[C@@H]1CCCNN1	D-piperazic acid	O=C(O)[C@H]1CCCNN1	NMe-piperazic acid	CN1[C@H](C(O)=O)CCCN1	NMe-D-piperazic acid	CN1[C@@H](C(O)=O)CCCN1
piperonylic acid	OC(c(c2)ccc1OCOc12)=O						
proline	OC(=O)[C@@H]1CCCN1	D-proline	OC(=O)[C@H]1CCCN1	NMe-proline	CN1[C@H](C(O)=O)CCC1	NMe-D-proline	CN1[C@@H](C(O)=O)CCC1
pyrrole-2-carboxylic acid	O=C(O)c1[nH]ccc1						
pyruvic acid	CC(C(O)=O)=O						
quinoxaline-2-carboxylic acid	O=C(O)c2cnc1c(n2)cccc1						
salicylic acid	OC(=O)c1c(O)cccc1						
serine	O=C(O)[C@@H](N)CO	D-serine	O=C(O)[C@H](N)CO	NMe-serine	CN[C@H](C(O)=O)CO	NMe-D-serine	CN[C@@H](C(O)=O)CO
succinic semialdehyde	O=C(O)CCC=O						
succinyl-hydrazinoacetic acid	N/N=C/C=C/C=C/C=C/C=C/C=C/C(O)=O						
threonine	C[C@@H](O)[C@H](N)C(O)=O	D-allo-threonine	C[C@@H](O)[C@@H](N)C(O)=O	NMe-threonine	CN[C@H](C(O)=O)[C@H](O)C	NMe-D-allo-threonine	CN[C@@H](C(O)=O)[C@H](O)C
trans-2-crotylglycine	C/C=C/C[C@H](N)C(O)=O	D-trans-2-crotylglycine	C/C=C/C[C@@H](N)C(O)=O	NMe-trans-2-crotylglycine	CN[C@H](C(O)=O)C\C=C\C	NMe-D-trans-2-crotylglycine	CN[C@@H](C(O)=O)C\C=C\C
trans-2-hexenoic acid	CCC/C=C/C(=O)O						
tricarballylic acid	O=C(O)CC(C(O)=O)CC(O)=O						
tryptophan	O=C(O)[C@@H](N)Cc2c1c([nH]c2)cccc1	D-tryptophan	O=C(O)[C@H](N)Cc2c1c([nH]c2)cccc1	NMe-tryptophan	CN[C@H](C(O)=O)Cc(c[nH]2)c1c2cccc1	NMe-D-tryptophan	CN[C@@H](C(O)=O)Cc(c[nH]2)c1c2cccc1
tyrosine	O=C(O)[C@@H](N)Cc1ccc(O)cc1	D-tyrosine	O=C(O)[C@H](N)Cc1ccc(O)cc1	NMe-tyrosine	CN[C@H](C(O)=O)Cc1ccc(O)cc1	NMe-D-tyrosine	CN[C@@H](C(O)=O)Cc1ccc(O)cc1
ustethylinic acid	Cc(c(O)cc(CC)c1C(O)=O)c1O						
valine	CC([C@H](N)C(O)=O)C	D-valine	CC([C@@H](N)C(O)=O)C	NMe-valine	CN[C@H](C(O)=O)C(C)C	NMe-D-valine	CN[C@@H](C(O)=O)C(C)C
valine isocyanide	CC([C@@H](C(=O)O)[N+]#[C-])C	D-valine isocyanide	CC([C@H](C(=O)O)[N+]#[C-])C				
valinol	CC([C@H](N)CO)C						
