substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
3R-hydroxy-2,4-diaminobutyric acid	NC[C@H]([C@H](N)C(O)=O)O	D-3R-hydroxy-2,4-diaminobutyric acid	NC[C@H]([C@@H](N)C(O)=O)O	NMe-3R-hydroxy-2,4-diaminobutyric acid	CN[C@H](C(O)=O)[C@H](O)CN	NMe-D-3R-hydroxy-2,4-diaminobutyric acid	CN[C@@H](C(O)=O)[C@H](O)CN
3R-hydroxyaspartic acid	N[C@H](C(O)=O)[C@@H](O)C(O)=O	D-3R-hydroxyaspartic acid	N[C@@H](C(O)=O)[C@@H](O)C(O)=O	NMe-3R-hydroxyaspartic acid	CN[C@H](C(O)=O)[C@@H](O)C(O)=O	NMe-D-3R-hydroxyaspartic acid	CN[C@@H](C(O)=O)[C@@H](O)C(O)=O
3R-hydroxyhomotyrosine	O=C(O)[C@@H](N)[C@H](O)Cc1ccc(O)cc1	D-3R-hydroxyhomotyrosine	O=C(O)[C@H](N)[C@H](O)Cc1ccc(O)cc1	NMe-3R-hydroxyhomotyrosine	CN[C@H](C(O)=O)[C@H](O)Cc1ccc(O)cc1	NMe-D-3R-hydroxyhomotyrosine	CN[C@@H](C(O)=O)[C@H](O)Cc1ccc(O)cc1
3R-methylglutamic acid	C[C@@H]([C@H](N)C(O)=O)CC(O)=O	D-3R-methylglutamic acid	C[C@@H]([C@@H](N)C(O)=O)CC(O)=O	NMe-3R-methylglutamic acid	CN[C@H](C(O)=O)[C@@H](CC(O)=O)C	NMe-D-3R-methylglutamic acid	CN[C@@H](C(O)=O)[C@@H](CC(O)=O)C
3S-cyclohex-2-enylalanine	O=C(O)[C@@H](N)C[C@@H]1C=CCCC1	D-3S-cyclohex-2-enylalanine	O=C(O)[C@H](N)C[C@@H]1C=CCCC1	NMe-3S-cyclohex-2-enylalanine	CN[C@H](C(O)=O)C[C@@H]1C=CCCC1	NMe-D-3S-cyclohex-2-enylalanine	CN[C@@H](C(O)=O)C[C@@H]1C=CCCC1
3S-methylaspartic acid	C[C@H](C(O)=O)[C@H](N)C(O)=O	D-3S-methylaspartic acid	C[C@H](C(O)=O)[C@@H](N)C(O)=O	NMe-3S-methylaspartic acid	CN[C@H](C(O)=O)[C@@H](C(O)=O)C	NMe-D-3S-methylaspartic acid	CN[C@@H](C(O)=O)[C@@H](C(O)=O)C
3S-methylproline	C[C@@H]1[C@@H](C(O)=O)NCC1	D-3S-methylproline	C[C@@H]1[C@H](C(O)=O)NCC1	NMe-3S-methylproline	CN(CC1)[C@H](C(O)=O)[C@H]1C	NMe-D-3S-methylproline	CN(CC1)[C@@H](C(O)=O)[C@H]1C
4,5-dehydroarginine	O=C([C@H](C/C=C/NC(=N)N)N)O	D-4,5-dehydroarginine	O=C([C@@H](C/C=C/NC(=N)N)N)O	NMe-4,5-dehydroarginine	CN[C@@H](C/C=C/NC(=N)N)C(O)=O	NMe-D-4,5-dehydroarginine	CN[C@H](C/C=C/NC(=N)N)C(O)=O
4-acetamidopyrrole-2-carboxylic acid	CC(Nc1c[nH]c(C(O)=O)c1)=O						
4-amino-2-hydroxy-3-isopropoxybenzoic acid	CC(Oc1c(N)ccc(C(O)=O)c1O)C						
4-hydroxy-D-kynurenine	Oc1ccc(C(C[C@@H](N)C(O)=O)=O)c(N)c1			NMe-4-hydroxy-D-kynurenine	CN[C@@H](C(O)=O)CC(=O)c1c(N)cc(O)cc1		
4-hydroxyglutamine	OC(C(N)=O)C[C@H](N)C(O)=O	D-4-hydroxyglutamine	OC(C(N)=O)C[C@@H](N)C(O)=O	NMe-4-hydroxyglutamine	CN[C@H](C(O)=O)CC(C(N)=O)O	NMe-D-4-hydroxyglutamine	CN[C@@H](C(O)=O)CC(C(N)=O)O
4-methoxytryptophan	OC(=O)[C@@H](N)Cc2c1c([nH]c2)cccc1OC	D-4-methoxytryptophan	OC(=O)[C@H](N)Cc2c1c([nH]c2)cccc1OC	NMe-4-methoxytryptophan	CN[C@H](C(O)=O)Cc(c[nH]2)c1c2cccc1OC	NMe-D-4-methoxytryptophan	CN[C@@H](C(O)=O)Cc(c[nH]2)c1c2cccc1OC
4-methylproline	CC1C[C@@H](C(O)=O)NC1	D-4-methylproline	CC1C[C@H](C(O)=O)NC1	NMe-4-methylproline	CN(C1)[C@H](C(O)=O)CC1C	NMe-D-4-methylproline	CN(C1)[C@@H](C(O)=O)CC1C
4-nitrotryptophan	O=[N+]([O-])c1cccc([nH]cc2C[C@H](N)C(O)=O)c12	D-4-nitrotryptophan	O=[N+]([O-])c1cccc([nH]cc2C[C@@H](N)C(O)=O)c12	NMe-4-nitrotryptophan	CN[C@H](C(O)=O)Cc(c[nH]2)c1c2cccc1[N+]([O-])=O	NMe-D-4-nitrotryptophan	CN[C@@H](C(O)=O)Cc(c[nH]2)c1c2cccc1[N+]([O-])=O
4R-E-butenyl-4R-methylthreonine	C/C=C/C[C@H]([C@@H](O)[C@H](N)C(O)=O)C	D-4R-E-butenyl-4R-methylthreonine	C/C=C/C[C@H]([C@@H](O)[C@@H](N)C(O)=O)C	NMe-4R-E-butenyl-4R-methylthreonine	CN[C@H](C(O)=O)[C@H](O)[C@H](C)C\C=C\C	NMe-D-4R-E-butenyl-4R-methylthreonine	CN[C@@H](C(O)=O)[C@H](O)[C@H](C)C\C=C\C
4S,5-dihydroxy-2S-aminopentanoic acid	O[C@H](CO)C[C@H](N)C(O)=O	4S,5-dihydroxy-2R-aminopentanoic acid	O[C@H](CO)C[C@@H](N)C(O)=O	NMe-4S,5-dihydroxy-2S-aminopentanoic acid	CN[C@H](C(O)=O)C[C@@H](CO)O	NMe-4S,5-dihydroxy-2R-aminopentanoic acid	CN[C@@H](C(O)=O)C[C@@H](CO)O
4S-acetyl-5S-methylproline	CC(O[C@H]1C[C@@H](C(O)=O)N[C@@H]1C)=O	D-4S-acetyl-5S-methylproline	CC(O[C@H]1C[C@H](C(O)=O)N[C@@H]1C)=O	NMe-4S-acetyl-5S-methylproline	CN([C@@H]1C)[C@H](C(O)=O)C[C@@H]1OC(=O)C	NMe-D-4S-acetyl-5S-methylproline	CN([C@@H]1C)[C@@H](C(O)=O)C[C@@H]1OC(=O)C
4S-methylazetidine-2S-carboxylic acid	C[C@H]1C[C@@H](C(O)=O)N1	4S-methylazetidine-2R-carboxylic acid	C[C@H]1C[C@H](C(O)=O)N1	NMe-4S-methylazetidine-2S-carboxylic acid	CN([C@H](C(O)=O)C1)[C@H]1C	NMe-4S-methylazetidine-2R-carboxylic acid	CN([C@@H](C(O)=O)C1)[C@H]1C
4S-propenylproline	C/C=C\[C@H]1C[C@@H](C(O)=O)NC1	D-4S-propenylproline	C/C=C\[C@H]1C[C@H](C(O)=O)NC1	NMe-4S-propenylproline	CN(C1)[C@H](C(O)=O)C[C@@H]1/C=C\C	NMe-D-4S-propenylproline	CN(C1)[C@@H](C(O)=O)C[C@@H]1/C=C\C
5,5-dimethylpipecolic acid	O=C(O)[C@H]1NCC(C)(C)CC1	D-5,5-dimethylpipecolic acid	O=C(O)[C@@H]1NCC(C)(C)CC1	NMe-5,5-dimethylpipecolic acid	CN1CC(C)(C)CC[C@H]1C(O)=O	NMe-D-5,5-dimethylpipecolic acid	CN1CC(C)(C)CC[C@@H]1C(O)=O
5-chlorotryptophan	N[C@H](C(O)=O)Cc2c1c([nH]c2)ccc(Cl)c1	D-5-chlorotryptophan	N[C@@H](C(O)=O)Cc2c1c([nH]c2)ccc(Cl)c1	NMe-5-chlorotryptophan	CN[C@H](C(O)=O)Cc(c[nH]2)c1c2ccc(Cl)c1	NMe-D-5-chlorotryptophan	CN[C@@H](C(O)=O)Cc(c[nH]2)c1c2ccc(Cl)c1
5-methoxytyrosine	COc1cc(C[C@H](N)C(O)=O)ccc1O	D-5-methoxytyrosine	COc1cc(C[C@@H](N)C(O)=O)ccc1O	NMe-5-methoxytyrosine	CN[C@H](C(O)=O)Cc(ccc1O)cc1OC	NMe-D-5-methoxytyrosine	CN[C@@H](C(O)=O)Cc(ccc1O)cc1OC
5S-methylproline	O=C(O)[C@@H]1CC[C@H](C)N1	D-5S-methylproline	O=C(O)[C@H]1CC[C@H](C)N1	NMe-5S-methylproline	CN1[C@H](C(O)=O)CC[C@@H]1C	NMe-D-5S-methylproline	CN1[C@@H](C(O)=O)CC[C@@H]1C
6-chlorotryptophan	N[C@H](C(O)=O)Cc2c1c([nH]c2)cc(Cl)cc1	D-6-chlorotryptophan	N[C@@H](C(O)=O)Cc2c1c([nH]c2)cc(Cl)cc1	NMe-6-chlorotryptophan	CN[C@H](C(O)=O)Cc(c[nH]2)c1c2cc(Cl)cc1	NMe-D-6-chlorotryptophan	CN[C@@H](C(O)=O)Cc(c[nH]2)c1c2cc(Cl)cc1
6-hydroxy-tetrahydro-isoquinoline-3-carboxylic acid	Oc2cc1CC(C(O)=O)NCc1cc2			NMe-6-hydroxy-tetrahydro-isoquinoline-3-carboxylic acid	CN1C(C(O)=O)Cc(cc(O)cc2)c2C1		
6-methylsalicylic acid	Cc1c(C(O)=O)c(O)ccc1						
D-phenyllactic acid	O=C(O)[C@H](O)Cc1ccccc1						
N-formylglycine	O=C(O)CNC=O			NMe-N-formylglycine	CN(C=O)CC(O)=O		
N-hydroxyvaline	CC([C@H](NO)C(O)=O)C	D-N-hydroxyvaline	CC([C@@H](NO)C(O)=O)C	NMe-N-hydroxyvaline	CN(O)[C@H](C(O)=O)C(C)C	NMe-D-N-hydroxyvaline	CN(O)[C@@H](C(O)=O)C(C)C
N5-cis-anhydromevalonyl-N5-hydroxyornithine	O=C(/C=C(\C)/CCO)N(O)CCC[C@H](N)C(=O)O	D-N5-cis-anhydromevalonyl-N5-hydroxyornithine	O=C(/C=C(\C)/CCO)N(O)CCC[C@@H](N)C(=O)O	NMe-N5-cis-anhydromevalonyl-N5-hydroxyornithine	CN[C@H](C(=O)O)CCCN(O)C(/C=C(\C)/CCO)=O	NMe-D-N5-cis-anhydromevalonyl-N5-hydroxyornithine	CN[C@@H](C(=O)O)CCCN(O)C(/C=C(\C)/CCO)=O
N5-trans-anhydromevalonyl-N5-hydroxyornithine	O=C(O)[C@@H](N)CCCN(C(/C=C(/CCO)\C)=O)O	D-N5-trans-anhydromevalonyl-N5-hydroxyornithine	O=C(O)[C@H](N)CCCN(C(/C=C(/CCO)\C)=O)O	NMe-N5-trans-anhydromevalonyl-N5-hydroxyornithine	CN[C@H](C(O)=O)CCCN(C(/C=C(/CCO)\C)=O)O	NMe-D-N5-trans-anhydromevalonyl-N5-hydroxyornithine	CN[C@@H](C(O)=O)CCCN(C(/C=C(/CCO)\C)=O)O
N6-hydroxylysine	O=C(O)[C@@H](N)CCCCNO	D-N6-hydroxylysine	O=C(O)[C@H](N)CCCCNO	NMe-N6-hydroxylysine	CN[C@H](C(O)=O)CCCCNO	NMe-D-N6-hydroxylysine	CN[C@@H](C(O)=O)CCCCNO
O-dimethylallyl-L-tyrosine	CC(C)=CCOc1ccc(C[C@H](N)C(O)=O)cc1	D-O-dimethylallyl-L-tyrosine	CC(C)=CCOc1ccc(C[C@@H](N)C(O)=O)cc1	NMe-O-dimethylallyl-L-tyrosine	CN[C@H](C(O)=O)Cc(cc1)ccc1OCC=C(C)C	NMe-D-O-dimethylallyl-L-tyrosine	CN[C@@H](C(O)=O)Cc(cc1)ccc1OCC=C(C)C
R-beta-hydroxyphenylalanine	O[C@@H]([C@H](N)C(O)=O)c1ccccc1	D-R-beta-hydroxyphenylalanine	O[C@@H]([C@@H](N)C(O)=O)c1ccccc1	NMe-R-beta-hydroxyphenylalanine	CN[C@H](C(O)=O)[C@@H](c1ccccc1)O	NMe-D-R-beta-hydroxyphenylalanine	CN[C@@H](C(O)=O)[C@@H](c1ccccc1)O
R-beta-methylphenylalanine	C[C@@H]([C@H](N)C(O)=O)c1ccccc1	D-R-beta-methylphenylalanine	C[C@@H]([C@@H](N)C(O)=O)c1ccccc1	NMe-R-beta-methylphenylalanine	CN[C@H](C(O)=O)[C@@H](c1ccccc1)C	NMe-D-R-beta-methylphenylalanine	CN[C@@H](C(O)=O)[C@@H](c1ccccc1)C
R-beta-methyltryptophan	C[C@@H]([C@H](N)C(O)=O)c1c[nH]c2ccccc12	D-R-beta-methyltryptophan	C[C@@H]([C@@H](N)C(O)=O)c1c[nH]c2ccccc12	NMe-R-beta-methyltryptophan	CN[C@H](C(O)=O)[C@@H](c1c[nH]c2ccccc12)C	NMe-D-R-beta-methyltryptophan	CN[C@@H](C(O)=O)[C@@H](c1c[nH]c2ccccc12)C
S-beta-hydroxycyclohex-2S-enylalanine	O[C@H]([C@H](N)C(O)=O)[C@@H]1C=CCCC1	S-beta-hydroxycyclohex-2R-enylalanine	O[C@H]([C@@H](N)C(O)=O)[C@@H]1C=CCCC1	NMe-S-beta-hydroxycyclohex-2S-enylalanine	CN[C@H](C(O)=O)[C@@H](O)[C@@H]1C=CCCC1	NMe-S-beta-hydroxycyclohex-2R-enylalanine	CN[C@@H](C(O)=O)[C@@H](O)[C@@H]1C=CCCC1
alaninol	C[C@H](N)CO						
allo-isoleucine	CC[C@H]([C@H](N)C(O)=O)C	D-isoleucine	CC[C@H]([C@@H](N)C(O)=O)C	NMe-allo-isoleucine	CN[C@H](C(O)=O)[C@H](C)CC	NMe-D-isoleucine	CN[C@@H](C(O)=O)[C@H](C)CC
allo-threonine	C[C@H](O)[C@H](N)C(O)=O	D-threonine	C[C@H](O)[C@@H](N)C(O)=O	NMe-allo-threonine	CN[C@H](C(O)=O)[C@@H](O)C	NMe-D-threonine	CN[C@@H](C(O)=O)[C@@H](O)C
argininol	N[C@@H](CCCN=C(N)N)CO						
aspartic acid branched	O=C(O)[C@@H](N)CC(O)=O	D-aspartic acid branched	O=C(O)[C@H](N)CC(O)=O	NMe-aspartic acid branched	CN[C@H](C(O)=O)CC(O)=O	NMe-D-aspartic acid branched	CN[C@@H](C(O)=O)CC(O)=O
beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	Cc1cc(C([C@H](N)C(O)=O)O)cc(O)c1OC	D-beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	Cc1cc(C([C@@H](N)C(O)=O)O)cc(O)c1OC	NMe-beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	CN[C@H](C(O)=O)C(O)c(cc(O)c1OC)cc1C	NMe-D-beta-hydroxy-3-hydroxy-O-methyl-5-methyltyrosine	CN[C@@H](C(O)=O)C(O)c(cc(O)c1OC)cc1C
beta-hydroxyphenylalanine	OC([C@H](N)C(O)=O)c1ccccc1	D-beta-hydroxyphenylalanine	OC([C@@H](N)C(O)=O)c1ccccc1	NMe-beta-hydroxyphenylalanine	CN[C@H](C(O)=O)C(c1ccccc1)O	NMe-D-beta-hydroxyphenylalanine	CN[C@@H](C(O)=O)C(c1ccccc1)O
beta-hydroxytyrosine	O=C(O)[C@@H](N)C(O)c1ccc(O)cc1	D-beta-hydroxytyrosine	O=C(O)[C@H](N)C(O)c1ccc(O)cc1	NMe-beta-hydroxytyrosine	CN[C@H](C(O)=O)C(O)c1ccc(O)cc1	NMe-D-beta-hydroxytyrosine	CN[C@@H](C(O)=O)C(O)c1ccc(O)cc1
beta-methylphenylalanine	CC(C(N)C(O)=O)c1ccccc1			NMe-beta-methylphenylalanine	CNC(C(O)=O)C(c1ccccc1)C		
capreomycidine	O=C(O)[C@@H](N)[C@H]1CCN=C(N)N1	D-capreomycidine	O=C(O)[C@H](N)[C@H]1CCN=C(N)N1	NMe-capreomycidine	CN[C@H](C(O)=O)[C@H]1CCN=C(N)N1	NMe-D-capreomycidine	CN[C@@H](C(O)=O)[C@H]1CCN=C(N)N1
citrulline	O=C(O)[C@@H](N)CCCNC(N)=O	D-citrulline	O=C(O)[C@H](N)CCCNC(N)=O	NMe-citrulline	CN[C@H](C(O)=O)CCCNC(N)=O	NMe-D-citrulline	CN[C@@H](C(O)=O)CCCNC(N)=O
colletorin D acid	Cc1cc(O)c(CC=C(C)C)c(O)c1C(O)=O						
cysteine branched	O=C(O)[C@@H](N)CS	D-cysteine branched	O=C(O)[C@H](N)CS				
dehydrophenylalanine	N/C(/C(O)=O)=C\c1ccccc1			NMe-dehydrophenylalanine	CN/C(/C(O)=O)=C\c1ccccc1		
dehydrovaline	CC(C)=C(N)C(O)=O			NMe-dehydrovaline	CNC(C(O)=O)=C(C)C		
enduracididine	O=C(O)[C@@H](N)C[C@@H]1CN=C(N)N1	D-enduracididine	O=C(O)[C@H](N)C[C@@H]1CN=C(N)N1	NMe-enduracididine	CN[C@H](C(O)=O)C[C@@H]1CN=C(N)N1	NMe-D-enduracididine	CN[C@@H](C(O)=O)C[C@@H]1CN=C(N)N1
fatty acid	O=C(C[*])O						
fumaric acid	O=C(O)\C=C\C(O)=O						
graminine	O=NN(CCC[C@@H](C(O)=O)N)O	D-graminine	O=NN(CCC[C@H](C(O)=O)N)O	NMe-graminine	CN[C@H](C(O)=O)CCCN(O)N=O	NMe-D-graminine	CN[C@@H](C(O)=O)CCCN(O)N=O
guanidinoacetic acid	O=C(O)CN=C(N)N						
histidine	O=C(O)[C@@H](N)Cc1cnc[nH]1	D-histidine	O=C(O)[C@H](N)Cc1cnc[nH]1	NMe-histidine	CN[C@H](C(O)=O)Cc1cnc[nH]1	NMe-D-histidine	CN[C@@H](C(O)=O)Cc1cnc[nH]1
homotyrosine	O=C(O)[C@@H](N)CCc1ccc(O)cc1	D-homotyrosine	O=C(O)[C@H](N)CCc1ccc(O)cc1	NMe-homotyrosine	CN[C@H](C(O)=O)CCc1ccc(O)cc1	NMe-D-homotyrosine	CN[C@@H](C(O)=O)CCc1ccc(O)cc1
indole pyruvic acid	O=C(C(O)=O)Cc2c1c([nH]c2)cccc1						
leucinol	CC(C[C@H](N)CO)C						
malic acid	O=C(O)C(O)CC(O)=O						
meta-tyrosine	O=C(O)[C@@H](N)Cc1cccc(O)c1	D-meta-tyrosine	O=C(O)[C@H](N)Cc1cccc(O)c1	NMe-meta-tyrosine	CN[C@H](C(O)=O)Cc1cccc(O)c1	NMe-D-meta-tyrosine	CN[C@@H](C(O)=O)Cc1cccc(O)c1
methylglutaconyl hydroxyornithine	C/C(/CC(O)=O)=C\C(N(O)CCCC(N)C(O)=O)=O			NMe-methylglutaconyl hydroxyornithine	CNC(C(O)=O)CCCN(O)C(=O)/C=C(/CC(O)=O)\C		
nicotinic acid	OC(=O)c1cccnc1						
norcoronamic acid	C[C@H]1C[C@@]1(N)C(O)=O			NMe-norcoronamic acid	CN[C@@](C(O)=O)(C1)[C@H]1C		
ochratoxin beta	CC(OC2=O)Cc1c2c(O)c(C(O)=O)cc1						
p-hydroxymandelate	O=C(O)C(O)c1ccc(O)cc1						
phenylalaninol	OC[C@@H](N)Cc1ccccc1						
phenylglycine	O=C(O)[C@@H](N)c1ccccc1	D-phenylglycine	O=C(O)[C@H](N)c1ccccc1	NMe-phenylglycine	CN[C@H](C(O)=O)c1ccccc1	NMe-D-phenylglycine	CN[C@@H](C(O)=O)c1ccccc1
phenyllactic acid	O=C(O)[C@@H](O)Cc1ccccc1						
pyrrole-2-carboxylic acid	O=C(O)c1[nH]ccc1						
quinoxaline-2-carboxylic acid	O=C(O)c2cnc1c(n2)cccc1						
salicylic acid	OC(=O)c1c(O)cccc1						
trans-2-crotylglycine	C/C=C/C[C@H](N)C(O)=O	D-trans-2-crotylglycine	C/C=C/C[C@@H](N)C(O)=O	NMe-trans-2-crotylglycine	CN[C@H](C(O)=O)C\C=C\C	NMe-D-trans-2-crotylglycine	CN[C@@H](C(O)=O)C\C=C\C
valinol	CC([C@H](N)CO)C						
